Seq_1116_LinJ.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq_1117_LinJ.29,Seq_1118_LinJ.29,Seq_1121_LinJ.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq_1119_LinJ.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq_1120_LinJ.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq_1123_LinJ.29,Seq_1126_LinJ.29,Seq_1127_LinJ.29,Seq_1128_LinJ.29,Seq_1129_LinJ.29,Seq_1135_LinJ.29,Seq_1145_LinJ.29,Seq_1146_LinJ.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq_1122_LinJ.29,Seq_1123_LinJ.29,Seq_1124_LinJ.29,Seq_1125_LinJ.29,Seq_1126_LinJ.29,Seq_1127_LinJ.29,Seq_1128_LinJ.29,Seq_1129_LinJ.29,Seq_1130_LinJ.29,Seq_1131_LinJ.29,Seq_1133_LinJ.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq_1132_LinJ.29,Seq_1134_LinJ.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq_1123_LinJ.29,Seq_1135_LinJ.29,Seq_1145_LinJ.29,Seq_1146_LinJ.29,Seq_1151_LinJ.29,Seq_1156_LinJ.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq_1136_LinJ.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq_1137_LinJ.29,Seq_1139_LinJ.29,Seq_1140_LinJ.29,Seq_1141_LinJ.29,Seq_1142_LinJ.29,Seq_1143_LinJ.29,Seq_1144_LinJ.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq_1138_LinJ.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq_1147_LinJ.29,Seq_1148_LinJ.29,Seq_1149_LinJ.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq_1150_LinJ.29,Seq_1155_LinJ.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq_1146_LinJ.29,Seq_1151_LinJ.29,Seq_1152_LinJ.29,Seq_1153_LinJ.29,Seq_1156_LinJ.29,Seq_1157_LinJ.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq_1081_LinJ.29,Seq_1086_LinJ.29,Seq_1086_LinJ.29,Seq_1087_LinJ.29,Seq_1154_LinJ.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,e,p,e,a,t,e,d, ,v,a,l,u,e,s,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq_1079_LinJ.29,2,Seq_1106_LinJ.29,3,Seq_1108_LinJ.29,4,Seq_1109_LinJ.29,3,Seq_1090_LinJ.29,2,Seq_1091_LinJ.29,2,Seq_1092_LinJ.29,2,Seq_1096_LinJ.29,2,Seq_1097_LinJ.29,2.0,Seq_1089_LinJ.29,2.0,Seq_1095_LinJ.29,2.0,Seq_1098_LinJ.29,2.0,Seq_1107_LinJ.29,2.0,Seq_1110_LinJ.29,2.0,Seq_1113_LinJ.29,2.0,Seq_1115_LinJ.29,2.0,Seq_1123_LinJ.29,3.0,Seq_1126_LinJ.29,2.0,Seq_1127_LinJ.29,2.0,Seq_1128_LinJ.29,2.0,Seq_1129_LinJ.29,2.0,Seq_1135_LinJ.29,2.0,Seq_1145_LinJ.29,2.0,Seq_1146_LinJ.29,3.0,Seq_1151_LinJ.29,2.0,Seq_1156_LinJ.29,2.0,Seq_1086_LinJ.29,2.0
